id,candidateId,jobId,status,matchScore,resumeScore,createdAt,updatedAt
b270a5fc-3e86-465c-9c5c-873a7140d69a,c40cf6d5-02c7-431f-ad98-7d6d0f01ce57,72b32e5b-292f-406d-a9cf-6b75616463fa,shortlisted,94.2,92.5,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
244d47ef-c26b-4518-907a-1ec4aa065409,abe95139-1354-45fe-9c6c-115357c46a88,16ec4d19-41ef-4a38-83c4-2c51f9db5e9b,interviewed,97.1,96.1,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
a7db614a-c551-49d2-927b-ca920c9b9f8d,cd79746d-f204-48f4-b2b9-c3c93a62795a,72b32e5b-292f-406d-a9cf-6b75616463fa,applied,82.3,84.3,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
224c307a-8123-4656-b66a-f80012e0a698,d472e7a8-9864-4ba2-9ad7-f11885bbe0ab,c624c20d-3f07-4fdd-bbc1-8324acb30548,offered,91.5,88.9,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
d8b1718d-8028-4fd1-8313-39486db53e7e,9b435de8-e67f-4954-9257-58439f3ffb07,c9bd20f8-b2df-4f77-a6a7-9cf8cd63bb2f,hired,88.4,81.2,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
63c2ff14-5933-4ef1-ad76-f169c3eb299c,c92c812c-3808-4f8d-a2e7-cbb0c3ec40a4,d6f96c9a-d711-44ed-8ba9-792ea8c76cc8,shortlisted,79.2,79.4,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
8fbd2d70-6563-40b4-80bf-463db3ac4121,9953792d-e4f4-4a3b-be3a-97005ccb23e6,16ec4d19-41ef-4a38-83c4-2c51f9db5e9b,applied,65.8,71.8,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
a56fc5ef-5dbf-4743-9258-fe651d8c8bd3,e6f34966-ec78-4e1f-9ee2-6124361e4373,72b32e5b-292f-406d-a9cf-6b75616463fa,rejected,42.1,52.4,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
152963be-9bdf-4306-a69a-d70e28f28a5b,c8b4c133-e166-401c-82c9-45fa9e37eb09,9c2879a7-7c93-424a-8d5f-fd3458c6a6c4,interviewed,93.7,89.6,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
9e6ec74d-4243-48a8-a733-965ba978a738,5eb9954e-97b0-4973-a6e4-f11c4ea919e8,72b32e5b-292f-406d-a9cf-6b75616463fa,applied,74.9,77.3,2026-05-31T13:52:02.615Z,2026-05-31T13:52:02.615Z
